year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,plot,rated,response,language,country,writer,metascore,imdb_rating,director,released,actors,genre,awards,runtime,type,poster,imdb_votes,error
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857.0,365702857.0,2013FAIL,100000000,115702857.0,365702857.0,1.0,1.0,993846,"Based on the true story of Jordan Belfort, from his rise to a wealthy stockbroker living the high life to his fall involving crime, corruption and the federal government.",R,True,"English, French",USA,"Terence Winter (screenplay), Jordan Belfort (book)",75.0,8.5,Martin Scorsese,25 Dec 2013,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Biography, Comedy, Crime",Nominated for 5 Oscars. Another 17 wins & 62 nominations.,180 min,movie,http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,"256,980",
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31000000,93772375.0,161772375.0,2012FAIL,31453796,95145068.0,164140491.0,1.0,1.0,1907668,"An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",R,True,English,USA,John Gatins,76.0,7.3,Robert Zemeckis,02 Nov 2012,"Nadine Velazquez, Denzel Washington, Carter Cabassa, Adam C. Edwards","Drama, Thriller",Nominated for 2 Oscars. Another 11 wins & 31 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,"193,334",
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65000000,182207973.0,273000960.0,2012PASS,65951507,184875236.0,276997302.0,1.0,1.0,443272,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves.",PG-13,True,English,USA,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)",86.0,7.5,Steven Spielberg,16 Nov 2012,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","Biography, Drama, History",Won 2 Oscars. Another 63 wins & 115 nominations.,150 min,movie,http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,"146,470",
2011,tt0970179,Hugo,dubious,dubious,FAIL,180000000,73864507.0,185033215.0,2011FAIL,186424342,76500789.0,191637196.0,1.0,1.0,970179,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",PG,True,English,USA,"John Logan (screenplay), Brian Selznick (book)",83.0,7.6,Martin Scorsese,23 Nov 2011,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz","Adventure, Drama, Family",Won 5 Oscars. Another 45 wins & 103 nominations.,126 min,movie,http://ia.media-imdb.com/images/M/MV5BMjAzNzk5MzgyNF5BMl5BanBnXkFtZTcwOTE4NDU5Ng@@._V1_SX300.jpg,"189,943",
2011,tt0983193,The Adventures of Tintin,notalk,notalk,FAIL,130000000,77591831.0,373993951.0,2011FAIL,134639802,80361144.0,387342089.0,1.0,1.0,983193,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.,PG,True,English,"USA, New Zealand","Steven Moffat (screenplay), Edgar Wright (screenplay), Joe Cornish (screenplay), Hergé (comic book series ""The Adventures of Tintin"")",68.0,7.4,Steven Spielberg,21 Dec 2011,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost","Animation, Action, Adventure",Nominated for 1 Oscar. Another 13 wins & 34 nominations.,107 min,movie,http://ia.media-imdb.com/images/M/MV5BNDE5MDExNTQ1OF5BMl5BanBnXkFtZTcwMDIxMTM5Ng@@._V1_SX300.jpg,"139,438",
2011,tt1568911,War Horse,notalk-disagree,notalk,FAIL,70000000,79883359.0,156815529.0,2011FAIL,72498355,82734459.0,162412399.0,1.0,1.0,1568911,Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,PG-13,True,"English, German",USA,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)",72.0,7.3,Steven Spielberg,25 Dec 2011,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","Drama, War",Nominated for 6 Oscars. Another 8 wins & 43 nominations.,146 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExNzkxOTYyNl5BMl5BanBnXkFtZTcwODA0MjU4Ng@@._V1_SX300.jpg,"87,756",
2010,tt1130884,Shutter Island,notalk,notalk,FAIL,80000000,128012934.0,296831073.0,2010FAIL,85458547,136747492.0,317084404.0,1.0,1.0,1130884,"In 1954, U.S. Marshal Teddy Daniels is investigating the disappearance of a murderess who escaped from a hospital for the criminally insane and is presumed to be hiding nearby.",R,True,"English, German",USA,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",63.0,8.1,Martin Scorsese,19 Feb 2010,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","Drama, Mystery, Thriller",4 wins & 27 nominations.,138 min,movie,http://ia.media-imdb.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg,"494,572",
2008,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,notalk,notalk,FAIL,185000000,317023851.0,786558145.0,2008FAIL,200217418,343101064.0,851257517.0,2.0,2.0,367882,"Famed archaeologist/adventurer Dr. Henry ""Indiana"" Jones is called back into action when he becomes entangled in a Soviet plot to uncover the secret behind mysterious artifacts known as the Crystal Skulls.",PG-13,True,"English, German, Russian",USA,"David Koepp (screenplay), George Lucas (story), Jeff Nathanson (story), George Lucas (characters), Philip Kaufman (characters)",65.0,6.3,Steven Spielberg,22 May 2008,"Harrison Ford, Cate Blanchett, Karen Allen, Shia LaBeouf","Action, Adventure",Nominated for 1 BAFTA Film Award. Another 6 wins & 25 nominations.,122 min,movie,http://ia.media-imdb.com/images/M/MV5BMTIxNDUxNzcyMl5BMl5BanBnXkFtZTcwNTgwOTI3MQ@@._V1_SX300.jpg,"254,789",
2007,tt0442933,Beowulf,ok,ok,PASS,150000000,82195215.0,194995215.0,2007PASS,168531522,92349898.0,219085603.0,2.0,2.0,442933,"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing towns, and later, Grendel's mother, who begins killing out of revenge.",PG-13,True,"English, Old English",USA,"Neil Gaiman (screenplay), Roger Avary (screenplay), Anonymous (epic poem ""Beowulf"")",59.0,6.3,Robert Zemeckis,16 Nov 2007,"Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian","Animation, Action, Adventure",1 win & 12 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SX300.jpg,"122,239",
2006,tt0407887,The Departed,notalk,notalk,FAIL,90000000,133311000.0,290539042.0,2006FAIL,104021671,154080367.0,335803963.0,2.0,2.0,407887,"An undercover state cop who has infiltrated an Irish gang and a mole in the police force working for the same mob race to track down and identify each other before being exposed to the enemy, after both sides realize their outfit has a rat.",R,True,"English, Cantonese","USA, Hong Kong","William Monahan (screenplay), Alan Mak, Felix Chong",86.0,8.5,Martin Scorsese,06 Oct 2006,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","Crime, Drama, Thriller",Won 4 Oscars. Another 64 wins & 63 nominations.,151 min,movie,http://ia.media-imdb.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,"597,745",
